Date/Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Weather
2016-08-03 18:00:00,27.5,17.8,55.0,21.0,10.0,24.1,98.52,33.0,
2016-08-03 19:00:00,26.5,16.6,54.0,20.0,13.0,24.1,98.51,32.0,Mainly Clear
2016-08-03 20:00:00,23.3,17.2,68.0,20.0,5.0,24.1,98.52,29.0,
2016-08-03 21:00:00,21.3,17.4,78.0,11.0,5.0,24.1,98.53,27.0,
2016-08-03 22:00:00,19.1,17.1,88.0,4.0,4.0,24.1,98.52,,Mainly Clear
2016-08-03 23:00:00,18.7,17.4,92.0,6.0,4.0,24.1,98.52,,
2016-08-04 00:00:00,18.7,17.2,91.0,10.0,4.0,24.1,98.52,,
2016-08-04 01:00:00,17.6,16.8,95.0,7.0,5.0,24.1,98.52,,Clear
2016-08-04 02:00:00,17.1,16.6,97.0,9.0,3.0,24.1,98.52,,
2016-08-04 03:00:00,16.8,16.3,97.0,9.0,4.0,24.1,98.51,,
2016-08-04 04:00:00,16.2,15.9,98.0,3.0,4.0,24.1,98.52,,Clear
2016-08-04 05:00:00,16.3,15.5,95.0,10.0,4.0,24.1,98.5,,
2016-08-04 06:00:00,16.8,15.5,92.0,6.0,3.0,24.1,98.52,,
2016-08-04 07:00:00,20.0,16.7,81.0,10.0,5.0,24.1,98.54,25.0,Clear
2016-08-04 08:00:00,23.6,19.4,77.0,14.0,10.0,22.5,98.54,31.0,
2016-08-04 09:00:00,25.9,20.6,72.0,11.0,8.0,24.1,98.55,34.0,
2016-08-04 10:00:00,27.6,21.1,67.0,14.0,12.0,24.1,98.54,36.0,Clear
2016-08-04 11:00:00,28.9,20.0,58.0,15.0,10.0,24.1,98.51,36.0,
2016-08-04 12:00:00,29.2,20.8,60.0,15.0,18.0,24.1,98.47,37.0,
2016-08-04 13:00:00,29.1,20.5,59.0,14.0,15.0,24.1,98.43,37.0,Mainly Clear
2016-08-04 14:00:00,29.9,19.8,54.0,15.0,16.0,24.1,98.4,37.0,
2016-08-04 15:00:00,30.2,20.1,54.0,18.0,21.0,24.1,98.32,38.0,
2016-08-04 16:00:00,29.6,19.5,54.0,18.0,18.0,24.1,98.32,37.0,Mainly Clear
